source;document_type;type_C_J;AREA;OUR-EVALUATION;nome-file2;TITLE;PUNTO;SOVRAPPOSIZIONI;NEW MODEL;MBSE;IOT SPECFIC;ALL;ALL5;DEPLOYMENT;ALL6;ORCHESTRATION;High Level;issues;ALL2;ALL22;Performance;Monitoring;Logginh;ALL3;ALL32;TESTING;ALL7;SECURITY;DEVSECOPS;ADDITIONAL;MATURITY MODEL;PRIVACY;ALL4;ALL8;SYSTEM;Citazioni distinte;Citazioni considerate su più aree;Quality Score;CLAUDE;Pag.Num;DESIGN;VALIDITY;REPLICABILITY;THREATS;MATURITY;POC;authors;year;doi;URL;abstract;keywords;journal;booktitle;publisher;thematic_area;iot_context;devops_practices;tools_frameworks;screening_reason;SCOPUS;IEEE;WOS;ACM;DISTINTI;
"ieee; scopus";IEEE Conferences;C;2 - CI/CD for Development, Integration, and Deployment;MEDIUM;161;Leveraging AI and MLOps for IoT-Edge-Cloud Industrial Digital Twins: a Practical Case Study;1,65;2;;;;0;0;2;1;;;;0;0;;1;;1;1;;0;;;;;;0;0;;1;2;3,3;HIGH;6;GOOD;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"M. A. Farooq; P. Bellavista; A. Bujari; A. Sita";2025;10.1109/CSCN67557.2025.11230711;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11230711;Artificial Intelligence (AI) and Machine Learning Operations (MLOps) are crucial for the practical application of Digital Twins (DT) in industrial environments. DT facilitate enhanced modelling, forecasting, and optimisation of assets and processes, while MLOps ensure resilient, reliable, and continuously updated models. This paper proposes an industrial-grade DT example for the manufacturing industry, utilising cloud/edge-based AI technologies from the Microsoft Azure ecosystem. Data handling and ML model training are performed at the cloud layer, while models are deployed and maintained at the edge. To enhance interoperability and portability, trained ML models are converted into lightweight and portable models using the Open Neural Network Exchange format (ONNX) standard. Continuous Integration and Continuous Deployment (CI/CD) are performed on an industrial edge device using GitHub Actions. REST APIs are implemented using standard HTTP methods to manage the IoT Central edge manifest. In-the-field experimental results demonstrate the effectiveness of our DT prototype in a specific industrial use case.;"Digital Twin;AutoML;Industry 4.0;IoT-edge-cloud Continuum;MLOps;CI/CD;ONNX;ML";;2025 IEEE Conference on Standards for Communications and Networking (CSCN);IEEE;2 - CI/CD for Development, Integration, and Deployment;Industrial IoT (manufacturing digital twins, Azure ecosystem);"MLOps; CI/CD";"Azure; ONNX; GitHub Actions; REST APIs";Directly integrates MLOps, CI/CD (GitHub Actions), and cloud/edge deployment for industrial IoT digital twins, with empirical results demonstrating DevOps practices in an IoT manufacturing context.;0;1;0;0;1;
"ieee; scopus";IEEE Conferences;C;3 - System-Wide Orchestration of Software and Hardware;MEDIUM;162;Life Cycle Automation of IoT Services over Multiple Edge Clouds;1,98;2;;;;0;0;3;1;1;;;1;1;;;;0;0;;0;;;;;;0;0;;1;2;3,96;MEDIUM;5;GOOD;SUFFICIENT;GOOD;SUFFICIENT;NO;YES;"M. Vitumbiko; Y. Kim";2024;10.1109/ICOIN59985.2024.10572158;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10572158;In the rapidly evolving landscape of edge computing for IoT service provisioning, the challenges of managing and deploying applications across a diverse array of edge devices in multi-edge setups are evident. Edge devices, often situated on users’ premises, exhibit heterogeneity in hardware and software requirements. Furthermore, manual cluster setup and software packaging for each edge site become impractical when trying to cater to the specific needs of each edge device. Developers are often required to set up an edge cluster, continuously create software packages tailored to individual edge devices and end-user requirements, all while managing multiple application versions and redeploying them across a fleet of edge devices. To address these challenges, this paper proposes an innovative solution that simplifies IoT microservice deployment across multiple edge sites, accommodating the intricacies of device diversity and different end user requirements.;"IoT;Multi-edge;Kubernetes;CI/CD";;2024 International Conference on Information Networking (ICOIN);IEEE;3 - System-Wide Orchestration of Software and Hardware;multi-edge IoT service deployment;"lifecycle automation; CI/CD-style deployment";Kubernetes;Proposes lifecycle automation and CI/CD-style deployment of IoT microservices across edge clouds, addressing DevOps practices for IoT though DevOps terminology is not always explicit.;1;1;1;0;1;
"ieee; scopus";IEEE Conferences;C;3 - System-Wide Orchestration of Software and Hardware;MEDIUM;163;MAGNET: An optimized DevOps framework for efficient software integration and orchestration in the IoT-Edge-Cloud Continuum;0,99;1;;;;0;0;;0;1;;;1;1;;;;0;0;;0;;;;;;0;0;;0;0;0,99;HIGH;6;SUFFICIENT;SUFFICIENT;SUFFICIENT;UNSUFFICIENT;NO;YES;"E. Agorogiannis; K. Petrakis; G. Antonopoulos; T. Anagnostopoulos; N. Grigoropoulos; Z. Benomar";2025;10.1109/EEITE65381.2025.11166038;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166038;This paper introduces MAGNET, a DevOps framework comprising Continuous Integration/Continuous Deployment practices, alongside flexible development and integration infrastructures, as applied in COGNIFOG, an innovative computing ecosystem currently under development that uses decentralized decision making, machine learning, and distributed computing to enhance autonomy, adaptability, and scalability within the IoT-edge-cloud continuum. The proposed approach ensures efficient, reliable, and seamless framework integration, offering key insights into integration architecture, data flow management, and the adoption of advanced technologies. This work demonstrates the efficiency and adaptability of the COGNIFOG ecosystem through three real-world trials in smart cities, e-health, and smart manufacturing, along with the creation of a comprehensive QuickStart Guide for deployment, offering a robust solution for the complexities of next-generation computing environments.;"CI/CD;DevOps;IoT-edge-cloud continuum;service orchestration;cognitive connectivity;fog computing;edge computing;IoT";;2025 6th International Conference in Electronic Engineering & Information Technology (EEITE);IEEE;3 - System-Wide Orchestration of Software and Hardware;IoT-edge-cloud continuum (smart cities, e-health, smart manufacturing trials);"CI/CD; DevOps framework integration";COGNIFOG ecosystem;Introduces MAGNET, a concrete DevOps/CI/CD framework explicitly designed for the IoT-edge-cloud continuum, validated through real-world trials in smart cities, e-health, and smart manufacturing.;0;0;0;0;0;
"acm; scopus";inproceedings;C;3 - System-Wide Orchestration of Software and Hardware;MEDIUM;167;Model-based fleet deployment of edge computing applications;3,66;1;;;1;1;1;;0;;;;0;0;;;;0;0;;0;;;;;;0;0;;24;24;3,66;MEDIUM;11;HIGH;HIGH;HIGH;GOOD;YES;YES;Song, Hui and Dautov, Rustem and Ferry, Nicolas and Solberg, Arnor and Fleurey, Franck;2020;10.1145/3365438.3410951;https://doi.org/10.1145/3365438.3410951;Edge computing brings software in close proximity to end users and IoT devices. Given the increasing number of distributed Edge devices with various contexts, as well as the widely adopted continuous delivery practices, software developers need to maintain multiple application versions and frequently (re-)deploy them to a fleet of many devices with respect to their contexts. Doing this correctly and efficiently goes beyond manual capabilities and requires employing an intelligent and reliable automated approach. Accordingly this paper describes a joint research with a Smart Healthcare application provider on a model-based approach to automatically assigning multiple software deployments to hundreds of Edge gateways. From a Platform-Specific Model obtained from the existing Edge computing platform, we extract a Platform-Independent Model that describes a list of target devices and a pool of available deployments. Next, we use constraint solving to automatically assign deployments to devices at once, given their specific contexts. The resulting solution is transformed back to the PSM as to proceed with software deployment accordingly. We validate the approach with a Fleet Deployment prototype integrated into the DevOps toolchain currently used by the application provider. Initial experiments demonstrate the viability of the approach and its usefulness in supporting DevOps in Edge computing applications.;DevOps, IoT, device fleet, model-based software engineering, software deployment;;Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems;Association for Computing Machinery;3 - System-Wide Orchestration of Software and Hardware;Edge/IoT device fleets (Smart Healthcare);"model-based automated deployment; DevOps toolchain";constraint solver (unspecified);Addresses model-based automated deployment of software to fleets of Edge/IoT gateways using continuous delivery practices, touching DevOps+IoT integration with a practical case study.;24;0;16;22;24;
ieee;IEEE Conferences;C;4 - Performance Monitoring;LOW;168;NeuroShield: Intelligent Cloud Alarm System for Industrial Hazards;1,32;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;0;0;1,32;MEDIUM;6;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"S. K. Tomar; R. Rajput; S. Mishra; P. Ray";2026;10.1109/ICOECA68095.2026.11485021;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11485021;Industrial environments handling hazardous chemicals require rapid and reliable leak detection mechanisms to ensure safety, environmental protection, and operational continuity. Conventional leak detection systems are largely hardware dependent and reactive, offering limited scalability and predictive capability. This paper presents NeuroShield, an intelligent cloud based alarm system for chemical leak detection that integrates machine learning with DevOps driven deployment practices. The proposed system utilizes simulated sensor data representing environmental and chemical parameters to model real-time industrial conditions. Machine learning based anomaly detection techniques classify system states into normal, warning, and dangerous categories, enabling early detection and proactive response. A cloud native architecture deployed on AWS supports scalability, high availability, and centralized monitoring, while a DevOps pipeline incorporating Docker, Kubernetes, and Jenkins facilitates automated integration and deployment. Experimental results demonstrate improved responsiveness, adaptability, and predictive performance compared to conventional monitoring approaches. The proposed framework demonstrates the feasibility of software driven, artificial intelligence enabled safety systems as a scalable and cost-effective solution for industrial chemical leak detection.;"Chemical Leak Detection;Anomaly Detection;Machine Learning Based Monitoring;Cloud Native Systems;Industrial Safety;DevOps Automation;Predictive Alarms;Scalable Monitoring Architecture";;2026 6th International Conference on Expert Clouds and Applications (ICOECA);IEEE;4 - Performance Monitoring;industrial hazard sensor monitoring (simulated sensors, AWS);DevOps pipeline;"AWS; Docker; Kubernetes; Jenkins";Presents an IoT-adjacent industrial sensor monitoring system explicitly using a DevOps pipeline (Docker, Kubernetes, Jenkins) for cloud-native deployment, addressing DevOps+IoT integration practices and tools, though the IoT framing is implicit via simulated sensors rather than direct IoT device management.;0;0;0;0;0;
"ieee; scopus";IEEE Conferences;C;2 - CI/CD for Development, Integration, and Deployment;HIGH;172;Optimizing Cloud Cost and Compliance in Azure DevOps Pipelines for Industrial Applications;2,31;2;;;;0;0;3;1;;;;0;0;;1;;1;1;;0;;;;;;0;0;;0;0;4,62;HIGH;6;GOOD;GOOD;GOOD;SUFFICIENT;YES;YES;S. N. Donthi;2026;10.1109/IC3ET64989.2026.11467383;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11467383;More and more, manufacturers are using Cloud DevOps pipelines for integration and deployment. When pipelines are imperfect, they can cause a high cloud cost. And it can also lead to compliance violations. This is especially true in regulated industries. Our framework aims to optimize Azure DevOps pipeline (cost and compliance). Resource scheduling is one of the techniques. The self-hosted agents, Infrastructure as Code policies and automatic compliance checks are also features of it. According to an industrial IoT application case study, the suggested approach reduces the cloud costs from $12,500 /month to $8,750/month (30 % Reduction). The number of regulatory breaches has dropped from 100 to 50 per day. Construction time has also dropped from 25 to 23 minutes. By complying with the rules and regulations of DevOps activities, the proposed plan can help industries in saving monetary values.;"Cloud DevOps;Azure;IoT and manufacturers";;2026 International Conference on Communication, Computing and Emerging Technologies (IC3ET);IEEE;2 - CI/CD for Development, Integration, and Deployment;industrial IoT applications (manufacturing, Azure);"Azure DevOps pipelines; Infrastructure as Code policies; automated compliance checks";Azure DevOps;Directly presents a framework for optimizing Azure DevOps pipelines for industrial IoT applications with empirical cost and compliance results.;0;0;0;0;0;
"ieee; scopus; wos";IEEE Conferences;C;6 - Security, Privacy and Risk Assessment;LOW;173;Overcoming New Technologies Challenges in IoT Security Labs: Strategies for Effective Adaptation;2,64;2;;;;0;0;;0;;;;0;0;;;;0;0;1;1;;1;;;;1;1;;0;0;5,28;MEDIUM;5;GOOD;GOOD;GOOD;GOOD;YES;YES;"D. Simopoulos; A. Wolf";2023;10.23919/IFIPNetworking57963.2023.10186388;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10186388;With IoT technology being widely implemented in crucial domains such as personal activity and health tracking or monitoring of critical technical processes, awareness for security risks has risen. First solutions for DevSecOps in IoT have been introduced in the past to detect typical programming flaws and the vulnerabilities they impose. With the increasing power and cheap availability of unlimited cloud resources, high speed networks and AI, new and more complex attacks seem feasible. In this paper we highlight these new threats and elaborate whether known approaches to IoT security are still sufficient or new strategies to fight the threats have to be developed. Furthermore, we present our approach to use the new technological possibilities in order to increase the power of security assessment and security tests for IoT.;"Internet of Things;Artificial Intelligence;6G;DevSecOps;Cyber-Security;Threat Modeling;Security Testing";;2023 IFIP Networking Conference (IFIP Networking);IEEE;6 - Security, Privacy and Risk Assessment;IoT security labs (health tracking, critical process monitoring, 6G);DevSecOps;not specified;Addresses DevSecOps practices for IoT security labs and discusses adaptation strategies for new threats, with direct relevance to DevOps+IoT security integration.;0;0;0;0;0;
"ieee; scopus";IEEE Conferences;C;2 - CI/CD for Development, Integration, and Deployment;LOW;174;Perceived benefits of Continuous Deployment in Software-Intensive Embedded Systems;2,31;2;;;;0;0;3;1;;;3;3;1;;;;0;0;;0;;;;;;0;0;;13;26;4,62;MEDIUM;8;GOOD;GOOD;GOOD;SUFFICIENT;YES;YES;"A. Dakkak; D. I. Mattos; J. Bosch";2021;10.1109/COMPSAC51774.2021.00126;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9529712;"Continuous Deployment (CD) advocates for quick and frequent deployments of software to production. The goal is to bring new functionality as early as possible to users while learning from their usage. CD has emerged from web-based applications where it has been gaining traction over the past years. While CD is appealing for many software development organizations, empirical evidence on perceived benefits in software-intensive embedded systems is scarce. The objective of this paper is to identify perceived benefits after transitioning to continuous deployment from a long-cycle release and deployment process. To do that, a case study at a multinational telecommunication company was conducted focusing on large and complex embedded software; the Third Generation (3G) Radio Access Network (RAN) software.";"Continuous deployment;Agile Software Development;Continuous Software Engineering;DevOps;Software-intensive embedded system";;;-;2 - CI/CD for Development, Integration, and Deployment;software-intensive embedded systems (3G RAN telecom, IoT-adjacent hardware);"Continuous Deployment (CD); Agile/Continuous Software Engineering";not specified;;13;7;13;0;13;
scopus;Article;J;5 - Large-Scale Testing;HIGH;178;REST API Testing in DevOps: A Study on an Evolving Healthcare IoT Application;4;1;;;;0;0;;0;;;;0;0;;;;0;0;1;1;;;;;;0;0;;0;0;4;HIGH;43;HIGH;HIGH;HIGH;HIGH;YES;YES;"Sartaj H.; Ali S.; Gjøby J.M.";2026;10.1145/3765744;https://www.scopus.com/pages/publications/105040644669?origin=resultslist;Healthcare Internet of Things (IoT) applications often integrate various third-party healthcare applications and medical devices through REST APIs, resulting in complex and interdependent networks of REST APIs. Oslo City’s healthcare department collaborates with various industry partners to develop these applications, enriched with diverse REST APIs that evolve during the DevOps process to accommodate evolving needs such as new features, services, and devices. Oslo City’s primary goal is to utilize automated solutions for continuous testing of REST APIs at each evolution stage to ensure dependability. Although the literature offers various automated REST API testing tools, their effectiveness in regression testing of the evolving REST APIs of healthcare IoT applications within a DevOps context remains undetermined. This article evaluates state-of-the-art and well-established REST API testing tools—specifically, RESTest, EvoMaster, Schemathesis, RESTler, and RestTestGen—for the regression testing of a real-world healthcare IoT application, considering failures, faults, coverage, regressions, and cost. We conducted experiments using all accessible REST APIs (17 APIs with 120 endpoints), and 14 releases evolved during DevOps. Overall, all tools generated tests leading to several failures, 18 potential faults, up to 84% coverage, and 23 regressions. Over 70% of tests generated by all tools fail to detect failures, resulting in significant overhead. © 2026 Copyright held by the owner/author(s). Publication rights licensed to ACM.;;ACM Transactions on Software Engineering and Methodology;;;5 - Large-Scale Testing;healthcare IoT (Oslo City medical devices, REST APIs);continuous/regression testing within DevOps;"RESTest; EvoMaster; Schemathesis; RESTler; RestTestGen";Directly evaluates automated REST API testing tools within a DevOps pipeline for a real-world healthcare IoT application, providing empirical evidence on practices and tooling for DevOps+IoT integration.;0;0;0;0;0;
"ieee; scopus; wos";IEEE Conferences;C;6 - Security, Privacy and Risk Assessment;MEDIUM;181;Secure Deployment of 5G/B5G Core Network;1,32;1;;;;0;0;;0;;;;0;0;;;;0;0;;0;;1;;;;1;1;;0;0;1,32;MEDIUM;4;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"A. Landa-Arrue; M. Barceló; I. Garitano; A. Urbieta";2025;10.1109/MECO66322.2025.11049157;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11049157;The deployment of secure and resilient FithGeneration (5G) core networks in industrial environments necessitates adopting methodologies that integrate security seamlessly into the entire development lifecycle. This paper presents a Development, Security, and Operations-based (DevSecOps) Continuous Integration/Continuous Deployment (CI/CD) pipeline designed to enhance the security of distributed 5G core networks. The proposed pipeline systematically analyzes Docker images and Kubernetes templates, detecting and mitigating vulnerabilities early in the deployment process. Automated tools such as Trivy, Checkov, Kubelinter, and Kube-bench are employed to significantly reduce security risks associated with outdated dependencies, misconfigurations, and network vulnerabilities. Additionally, integrating Lamassu IoT, a specialized PKI, enables automated digital certificate management. Results demonstrate substantial improvements in security practices, showing a marked reduction in vulnerabilities and enhanced compliance with industry standards.;"5G;DevSecOps;CI/CD;pipeline;PKI";;2025 14th Mediterranean Conference on Embedded Computing (MECO);IEEE;6 - Security, Privacy and Risk Assessment;5G/B5G core network (Lamassu IoT PKI for device certs);DevSecOps CI/CD pipeline;"Docker; Kubernetes; Trivy; Checkov; Kubelinter; Kube-bench; Lamassu IoT (PKI)";Presents a DevSecOps CI/CD pipeline for 5G core network deployment with integration of Lamassu IoT PKI, giving IoT a functional role in the pipeline, though IoT is not the primary focus.;0;0;0;0;0;
acm;inproceedings;C;5 - Large-Scale Testing;HIGH;182;Testing and deployment patterns for the internet-of-things;1,32;1;;;;0;0;;0;;;;0;0;;;;0;0;1;1;;;;;;0;0;;18;18;1,32;HIGH;8;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;Dias, Jo\~{a}o Pedro and Ferreira, Hugo Sereno and Sousa, Tiago Boldt;2019;10.1145/3361149.3361165;https://doi.org/10.1145/3361149.3361165;As with every software, Internet-of-Things (IoT) systems have their own life-cycle, from conception to construction, deployment, and operation. However, the testing requirements from these systems are slightly different due to their inherent coupling with hardware and human factors. Hence, the procedure of delivering new software versions in a continuous integration/delivery fashion must be adopted. Based on existent solutions (and inspired in other closely-related domains), we describe two common strategies that developers can use for testing IoT systems, (1) Testbed and (2) Simulation-based Testing, as well as one recurrent solution for its deployment (3) Middleman Update.;deployment, internet-of-things, orchestration, testing;;Proceedings of the 24th European Conference on Pattern Languages of Programs;Association for Computing Machinery;5 - Large-Scale Testing;generic IoT systems (hardware-coupled);"CI/CD; testing patterns (testbed, simulation); deployment (middleman update)";not specified;Directly addresses testing and deployment patterns for IoT systems including CI/CD strategies such as testbed testing, simulation-based testing, and middleman update in an IoT context.;0;0;13;18;18;
scopus;Conference paper;C;6 - Security, Privacy and Risk Assessment;LOW;184;The PASTA threat model implementation in the IoT development life cycle;1,65;2;;;;0;0;;0;;;;0;0;;;;0;0;1;1;;1;;;;1;1;;10;20;3,3;MEDIUM;10;GOOD;SUFFICIENT;GOOD;UNSUFFICIENT;NO;YES;"Wolf A.; Simopoulos D.; D’Avino L.; Schwaiger P.";2020;10.18420/inf2020_111;https://www.scopus.com/pages/publications/85126471832?origin=resultslist;Recently, IoT usage has grown rapidly. Security risks are rising analogously, though. Our paper introduces an approach to identify and address security threats by applying the PASTA (Process for Attack Simulation and Threat Analysis) threat model to the IoT domain. By adapting PASTA, we optimize the threat analysis based on domain knowledge and specific needs of IoT. With integration of the PASTA results into the development process and the IoT software development life cycle, we reduce security risks. A prototype demonstrates the feasibility of the concept for security vulnerability reduction via an integrated DevSecOps toolchain. © 2020 Gesellschaft fur Informatik (GI). All rights reserved.;;Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI);;;6 - Security, Privacy and Risk Assessment;generic IoT (security threat modeling);"DevSecOps toolchain; threat-modeling integration";PASTA methodology;Integrates PASTA threat modeling into the IoT software development lifecycle via a DevSecOps toolchain, addressing security practices and tooling for IoT DevOps.;10;0;0;0;10;
"ieee; scopus";IEEE Conferences;C;3 - System-Wide Orchestration of Software and Hardware;LOW;195;Workload Deployment and Configuration Reconciliation at Scale in Kubernetes-Based Edge-Cloud Continuums;2,31;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;2;2;2,31;HIGH;8;GOOD;GOOD;GOOD;SUFFICIENT;NO;YES;"D. Hass; J. Spillner";2022;10.1109/ISPDC55340.2022.00026;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9934988;Continuum computing promises the abstraction of physical node location and node platform stack in order to create a seamless application deployment and execution across edges and cloud data centres. For industrial IoT applications, the demand to generate data insights in conjunction with an installed base of increasingly capable edge devices is calling for appropriate continuum computing interfaces. Derived from a case study in industrial water flow monitoring and based on the industry’s de-facto standard Kubernetes to deploy complex containerised workloads, we present an appropriate continuum deployment mechanism based on custom Kubernetes controllers and CI/CD, called Kontinuum Controller. Through synthetic experiments and a holistic cross-provider deployment, we investigate its scalability with emphasis on reconciling adjusted configuration per application and per node, a critical requirement by industrial customers. Our findings convey that Kubernetes by default would enter undesirable oscillation already for modestly sized deployments. Thus, we also discuss possible solutions.;"Continuum computing;scalability;configuration management";;2022 21st International Symposium on Parallel and Distributed Computing (ISPDC);IEEE;3 - System-Wide Orchestration of Software and Hardware;industrial IoT (water-flow monitoring, edge-cloud);"CI/CD; custom Kubernetes controllers (Kontinuum Controller)";Kubernetes;Directly addresses CI/CD-based Kubernetes deployment mechanisms for industrial IoT applications across edge-cloud continuums, with empirical experiments and a concrete case study in industrial water flow monitoring.;2;2;0;0;2;
"scopus; wos";Conference paper;C;2 - CI/CD for Development, Integration, and Deployment;MEDIUM;196;Application development and deployment for IoT devices;1,65;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;-1;8;8;1,65;HIGH;12;GOOD;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"Ahmadighohandizi F.; Systä K.";2018;10.1007/978-3-319-72125-5_6;https://www.scopus.com/pages/publications/85042116784?origin=resultslist;The current IoT systems are based on simple sensors that collect data to a cloud and actuators controlled by applications in the cloud. When the devices become more powerful they will eventually become programmable and host applications. In this paper we present an application framework, development tool and execution platform for such applications. The guiding principle in designing the workflow design has been Continuous Delivery (CD) and DevOps, and our paper also provides a comparison of DevOps in the cloud and DevOps for the IoT. © Springer International Publishing AG 2018.;;Communications in Computer and Information Science;;;2 - CI/CD for Development, Integration, and Deployment;generic IoT devices (sensors/actuators becoming programmable);"Continuous Delivery; DevOps (cloud vs. IoT comparison)";not specified;Directly presents an application framework and workflow for IoT devices guided by Continuous Delivery and DevOps principles, including an explicit comparison of cloud DevOps versus IoT DevOps.;0;0;8;0;8;
scopus;Conference paper;C;6 - Security, Privacy and Risk Assessment;LOW;197;Cynefin Framework, DevOps and Secure IoT: Understanding the Nature of IoT Systems and Exploring Where in the DevOps Cycle Easy Gains Can Be Made to Increase Their Security;1,32;1;;;;0;0;;0;;;;0;0;;;;0;0;;0;;;;1;;1;1;;2;2;1,32;HIGH;11;GOOD;SUFFICIENT;SUFFICIENT;UNSUFFICIENT;NO;YES;Selgert F.;2020;10.1007/978-3-030-55583-2_19;https://www.scopus.com/pages/publications/85096513361?origin=resultslist;In the relatively new domain of the Internet of Things (IoT), startups and small companies thrive in and stride in bringing new products to the market. Many of them experience problems and fail to profit from their IoT innovation. A lot of those problems are security related. In IoT development, security issues are often overlooked or underestimated. This article explores, from a holistic viewpoint, how security in IoT systems can be prevented or mitigated with a minimal effort. Concepts examined are: The Cynefin framework, Business DevOps, and the role of constraints and requirements in the design phase. © 2020, Springer Nature Switzerland AG.;;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);;;6 - Security, Privacy and Risk Assessment;IoT startups/products (security);"Business DevOps; Cynefin framework application";not specified;Directly and substantively explores how DevOps practices can be applied throughout the IoT development lifecycle to improve security, using the Cynefin framework to motivate and structure the integration.;2;0;1;0;2;
scopus;Conference paper;;1 - Novel Models for IoT;;201;Development and Operation of Trustworthy Smart IoT Systems: The ENACT Framework;1,32;3;;;1;1;1;3;1;;;;0;0;;;;0;0;;0;;1;;;;1;1;-1;4;12;3,96;-;18;GOOD;SUFFICIENT;SUFFICIENT;UNSUFFICIENT;NO;YES;"Ferry N.; Dominiak J.; Gallon A.; González E.; Iturbe E.; Lavirotte S.; Martinez S.; Metzger A.; Muntés-Mulero V.; Nguyen P.H.; Palm A.; Rego A.; Rios E.; Riviera D.; Solberg A.; Song H.; Tigli J.-Y.; Winter T.";2020;10.1007/978-3-030-39306-9_9;https://www.scopus.com/pages/publications/85079102926?origin=resultslist;;;;;;1 - Novel Models for IoT;trustworthy smart IoT systems (ENACT project);"ENACT DevOps framework; methods & tools";ENACT platform;Directly presents the ENACT DevOps Framework with methods and tools specifically designed to enable DevOps practices for trustworthy Smart IoT Systems, addressing all three research questions.;4;0;0;0;4;
;;;2 - CI/CD for Development, Integration, and Deployment;;202;Enabling Cyberanalytics using IoT Clusters and Containers;1,32;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;2;2;1,32;LOW;6;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"S. A. Kassif Traore; M. Valero; H. Shahriar; L. Zhao; S. Ahamed; A. Lee";2022;10.1109/COMPSAC54236.2022.00286;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842500;"Containerization;web-based cyberinfrastructure;Cyberanalytics;IoT Cluster";IEEE;IEEE Conferences;in 2022 IEEE 46th Annual Computers, Software, and Applications Conference (COMPSAC), 2022, pp. 1798–1803;;2 - CI/CD for Development, Integration, and Deployment;IoT clusters (cyberanalytics, web-based cyberinfrastructure) - no real abstract, inferred from title;containerization;not specified;;2;0;0;0;2;
;;;3 - System-Wide Orchestration of Software and Hardware;HIGH;205;SMADA-Fog: Semantic model driven approach to deployment and adaptivity in fog computing;2,65;2;;;1;1;1;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;34;68;5,3;-;25;HIGH;GOOD;GOOD;SUFFICIENT;NO;YES;"Petrovic, N; Tosic, M";2020;10.1016/j.simpat.2019.102033;https://www.sciencedirect.com/science/article/pii/S1569190X19301649;Simulation Modelling Practice and Theory, vol. 101, p. 102033, 2020, modeling and Simulation of Fog Computing. https: //www.sciencedirect.com/science/article/pii/S1569190X19301649;;;;;3 - System-Wide Orchestration of Software and Hardware;fog computing systems;model-driven deployment/adaptivity (DevOps-adjacent);not specified;;33;0;27;0;34;
;;;6 - Security, Privacy and Risk Assessment;;208;Vulnerability detection tool in source code by building and leveraging semantic code graph;1,98;1;;;;0;0;;0;;;;0;0;;;;0;0;;0;1;;;;;1;1;;2;2;1,98;-;9;GOOD;SUFFICIENT;GOOD;SUFFICIENT;NO;YES;"Delaitre, S; Gutiérrez, JMP";2024;10.1145/3664476.3670942;;in Proceedings of the 19th International Conference on Availability, Reliability and Security, 2024, pp. 1–9;;;;;6 - Security, Privacy and Risk Assessment;"not specified (no abstract; title indicates general source-code vulnerability detection, IoT link unclear)";not specified;semantic code graph analysis (implied);;2;0;2;2;2;
;Article;J;6 - Security, Privacy and Risk Assessment;HIGH;209;Ensuring the Integrity, Confidentiality, and Availability of IoT Data in Industry 5.0: A Systematic Mapping Study;2,98;1;;;;0;0;;0;;;;0;0;;;;0;0;;0;1;;;;;1;1;;5;5;2,98;-;29;HIGH;GOOD;GOOD;GOOD;YES;YES;;;;;;;;;;6 - Security, Privacy and Risk Assessment;Industry 5.0 IoT data (systematic mapping study, generic);not specified (mapping study, no direct DevOps tooling);not specified;;0;25;0;0;25;
;Article;J;2 - CI/CD for Development, Integration, and Deployment;HIGH;210;Enhancing IoT Project Success through Agile Best Practices;2,64;2;;;1;1;1;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;5;10;5,28;-;31;GOOD;GOOD;GOOD;GOOD;YES;YES;;;;;;;;;;2 - CI/CD for Development, Integration, and Deployment;IoT project management (generic);Agile best practices (DevOps-adjacent);not specified;;0;0;0;11;11;
